scrape_date,source_url,job_title,company,location,salary,salary_min_usd,salary_max_usd,salary_currency,salary_status,skills,source,status
2026-05-28,https://itviec.com/it/ai-engineer-fresher-ung-vien-chuan-bi-tot-nghiep-mb-bank-5003,"AI Engineer (Fresher, Ứng viên chuẩn bị tốt nghiệp)",Nghiep Mb Bank,,Sign in to view salary,,,,login_required,AI;Computer Vision;Machine Learning;NLP;Python;TensorFlow,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-machine-learning-python-mcredit-cong-ty-tai-chinh-tnhh-mb-shinsei-2558,"AI Engineer (Machine Learning, Python)",Tnhh Mb Shinsei,,Sign in to view salary,,,,login_required,AI;Deep Learning;LLM;Machine Learning;PyTorch;Python,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-middle-senior-leader-vinsmart-future-3621,AI Engineer (Middle/Senior/Leader),Leader Vinsmart Future,,Sign in to view salary,,,,login_required,AI;Computer Vision;LLM;MLOps;NLP,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-nlp-viettel-customer-service-2822,AI Engineer (NLP),Viettel Customer Service,,Sign in to view salary,,,,login_required,Agile;SQL;Tester,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-nlp-python-pytorch-_all-level-ai-di-1856,"AI Engineer (NLP, Python, PyTorch)_All level",Level Ai Di,,Sign in to view salary,,,,login_required,AI;Machine Learning;NLP;Python;TensorFlow,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-prompt-engineering-wbc-viet-nam-2024,AI Engineer (Prompt Engineering),Wbc Viet Nam,,Sign in to view salary,,,,login_required,AI;Cloud;LLM;Microsoft Dynamics 365;Prompt Engineering;Python,ItViec,ok
2026-05-28,https://itviec.com/it/ai-engineer-python-microservices-docker-abbank-0215,"AI Engineer (Python, Microservices, Docker)",Microservices Docker Abbank,,Sign in to view salary,,,,login_required,AI;Docker;Microservices;Python,ItViec,ok
2026-05-28,https://itviec.com/it/ai-expert-computer-vision-nlp-llm-mb-bank-1922,AI Expert (Computer Vision/NLP/LLM),Llm Mb Bank,,Sign in to view salary,,,,login_required,AI;Computer Vision;Deep Learning;LLM;Machine Learning;NLP,ItViec,ok
2026-05-28,https://itviec.com/it/ai-software-engineer-python-go-c-c-ai-agents-mb-bank-0237,AI Software Engineer (Python/Go/C/C++ & AI Agents),Agents Mb Bank,,Sign in to view salary,,,,login_required,AI;C++;Docker;FastAPI;Golang;Python,ItViec,ok
2026-05-28,https://itviec.com/it/ai-solution-architect-up-to-50m-sunteco-2329,AI Solution Architect- Up to 50M,To 50m Sunteco,,Sign in to view salary,,,,login_required,AI;API;Docker;Kubernetes;LLM;Machine Learning,ItViec,ok
2026-05-28,https://itviec.com/it/ai-solutions-architect-transformation-lead-kms-technology-2717,AI Solutions Architect (Transformation Lead),Lead Kms Technology,,Sign in to view salary,,,,login_required,AI;English;Generative AI;LLM;Software Architecture;Solution Architecture,ItViec,ok
2026-05-28,https://itviec.com/it/ai-solutions-architect-transformation-lead-kms-technology-2321,AI Solutions Architect (Transformation Lead),Lead Kms Technology,,Sign in to view salary,,,,login_required,AI;English;Generative AI;LLM;Software Architecture;Solution Architecture,ItViec,ok
2026-05-28,https://itviec.com/it/ai-system-integration-engineer-c-python-llm-tablego-labs-4305,"AI System Integration Engineer (C++, Python, LLM)",Llm Tablego Labs,,Sign in to view salary,,,,login_required,AI;C++;Interaction Design;LLM;PyTorch;Python,ItViec,ok
2026-05-28,https://itviec.com/it/ai-technical-leader-fpt-is-3511,AI Technical Leader,Leader Fpt Is,,Sign in to view salary,,,,login_required,AI;Computer Vision;LLM;NLP;OCR,ItViec,ok
2026-05-28,https://itviec.com/it/ai-augmented-software-engineer-net-ai-agents-hqsoft-4029,AI-Augmented Software Engineer (.NET & AI Agents),Ai Agents Hqsoft,,Sign in to view salary,,,,login_required,.NET;AI;C#;LLM;Prompt Engineering;SQL,ItViec,ok
2026-05-28,https://itviec.com/it/ai-native-associate-product-manager-japanese-required-money-forward-vietnam-co-ltd-1215,AI-Native Associate Product Manager (Japanese required),Vietnam Co Ltd,,Sign in to view salary,,,,login_required,AI;English;Japanese;Product Management;Product Owner;Scrum,ItViec,ok
2026-05-28,https://itviec.com/it/ai-ml-developer-python-llm-redis-llm-blue-dragon-communications-1942,"AI/ML Developer (Python, LLM, Redis, LLM)",Blue Dragon Communications,,Sign in to view salary,,,,login_required,AI;AWS;LLM;Machine Learning;Python;Redis,ItViec,ok
2026-05-28,https://itviec.com/it/api-integration-engineer-oauth2-ws02-aws-gotymex-4727,API Integration Engineer (OAuth2 / WS02 / AWS),Ws02 Aws Gotymex,,Sign in to view salary,,,,login_required,API;AWS;Identity & Access Management;Java;Python;SSO,ItViec,ok
2026-05-28,https://itviec.com/it/agentic-ai-developer-python-prompt-engineering-metub-viet-nam-0932,"Agentic AI Developer (Python, Prompt Engineering)",Metub Viet Nam,,Sign in to view salary,,,,login_required,AI;PromiseKit;Prompt Engineering;Python;TypeScript,ItViec,ok
2026-05-28,https://itviec.com/it/agentic-coding-specialist-scandinavian-software-park-2937,Agentic Coding Specialist,Scandinavian Software Park,,Sign in to view salary,,,,login_required,.NET;AI;Cloud;Java;LLM;Python,ItViec,ok
2026-05-28,https://itviec.com/it/agentic-engineer-python-go-c-c-backend-ai-agents-mb-bank-0058,Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),Agents Mb Bank,,Sign in to view salary,,,,login_required,AI;C language;C++;FastAPI;Golang;Python,ItViec,ok
2026-05-28,https://itviec.com/it/analytics-engineer-advanced-sql-python-data-analyst-metub-viet-nam-0743,"Analytics Engineer (Advanced SQL, Python, Data Analyst)",Metub Viet Nam,,Sign in to view salary,,,,login_required,Business Intelligence;Data Analysis;Data Engineer;Data Warehousing;Python;SQL,ItViec,ok
2026-05-28,https://itviec.com/it/android-developer-java-kotlin-wayfu-studio-2211,"Android Developer (Java, Kotlin)",Kotlin Wayfu Studio,,Sign in to view salary,,,,login_required,API;Android;Java;Kotlin;OOP,ItViec,ok
2026-05-28,https://itviec.com/it/android-developer-kotlin-mvvm-megazone-1800,Android Developer (Kotlin / MVVM),Kotlin Mvvm Megazone,,Sign in to view salary,,,,login_required,Android;Figma;Kotlin;MVVM,ItViec,ok
