role,developer_count,median_salary,hiring_priority_score,priority_band
Full-stack Developer,12351,71078.0,77.2,Priority 1
Back-end Developer,6453,78616.0,46.1,Priority 2
Product/BA,1273,122171.0,35.4,Priority 3
DevOps Specialist,1053,87011.0,18.4,Priority 3
Data Scientist / ML,574,81210.0,13.0,Priority 3
Mobile Developer,1391,69609.0,12.6,Priority 3
Front-end Developer,1974,61362.0,12.3,Priority 3
Data/BI Analyst,351,55000.0,0.0,Priority 3
